date,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS10M,PRECTOTCORR,PS,CLOUD_AMT
20260228,16.37,3.63,93.99,2.77,0.03,101.74,-999.0
20260301,13.36,1.53,81.11,5.51,0.5,102.18,-999.0
20260302,11.16,-1.81,65.53,4.41,0.0,103.52,-999.0
20260303,2.32,1.53,89.49,4.25,10.35,102.95,-999.0
20260304,7.76,3.68,90.8,2.22,2.09,102.31,-999.0
20260305,3.97,3.27,95.13,3.53,16.05,102.24,-999.0
20260306,3.6,3.14,93.07,5.03,5.68,102.59,-999.0
20260307,7.97,3.93,97.2,3.97,0.74,101.93,-999.0
20260308,9.57,7.6,89.39,4.8,9.96,100.96,-999.0
20260309,18.02,7.72,80.96,3.48,0.0,101.53,-999.0
20260310,17.78,8.09,87.21,4.29,0.07,101.54,-999.0
20260311,11.5,8.3,92.22,5.93,0.5,101.0,-999.0
20260312,2.82,5.12,86.14,7.46,9.26,100.76,-999.0
20260313,8.01,2.65,72.5,6.4,0.03,101.56,-999.0
20260314,19.1,5.17,71.02,7.3,0.02,101.56,-999.0
20260315,5.09,3.36,81.48,6.17,0.1,102.68,-999.0
20260316,6.09,8.27,96.82,10.64,28.62,100.35,-999.0
20260317,19.51,2.29,66.01,9.41,0.6,101.07,-999.0
20260318,18.92,-0.46,63.89,4.08,0.0,102.72,-999.0
20260319,7.12,2.68,71.69,3.35,0.0,102.37,-999.0
20260320,16.87,5.21,90.0,6.34,1.83,101.42,-999.0
20260321,20.04,7.42,83.17,4.05,0.09,101.06,-999.0
20260322,17.16,6.54,93.0,5.44,2.33,100.79,-999.0
20260323,4.8,4.66,86.97,6.85,6.19,101.05,-999.0
20260324,21.49,3.08,69.99,5.62,0.0,102.64,-999.0
20260325,-999.0,4.58,84.7,4.41,0.08,102.55,-999.0
20260326,20.08,8.77,88.5,7.78,0.13,101.04,-999.0
20260327,10.68,7.87,81.94,4.76,3.47,101.3,-999.0
20260328,22.15,2.78,64.73,5.97,0.0,102.76,-999.0
20260329,22.1,5.17,71.78,5.8,0.0,103.12,-999.0
20260330,20.42,9.49,85.58,7.27,0.18,102.06,-999.0
20260331,17.39,11.99,86.57,7.69,0.02,101.44,-999.0
20260401,15.24,12.49,89.11,4.11,5.2,101.59,-999.0
20260402,5.09,6.38,90.79,6.21,3.28,102.76,-999.0
20260403,13.25,8.13,95.99,3.39,0.7,102.26,-999.0
20260404,17.41,9.45,91.33,5.1,0.1,102.06,-999.0
20260405,3.99,9.27,92.79,4.47,10.0,101.03,-999.0
20260406,22.74,7.84,67.35,4.13,0.24,101.53,-999.0
20260407,22.67,6.85,69.98,5.46,1.2,102.2,-999.0
20260408,24.16,3.14,64.29,4.4,0.0,103.43,-999.0
20260409,23.94,5.21,77.11,3.36,0.0,103.3,-999.0
20260410,23.37,7.51,87.76,3.85,0.01,102.41,-999.0
20260411,24.11,10.11,73.15,4.46,0.0,102.19,-999.0
20260412,23.4,7.95,76.23,4.42,0.0,102.92,-999.0
20260413,7.74,12.11,86.04,5.27,0.05,101.65,-999.0
20260414,22.71,14.88,80.53,4.0,1.08,101.23,-999.0
20260415,21.25,16.15,81.31,3.99,1.38,101.09,-999.0
20260416,19.54,15.4,82.88,3.77,1.71,100.89,-999.0
20260417,17.01,16.51,80.59,3.17,2.86,100.95,-999.0
20260418,23.24,10.65,91.61,3.8,0.42,101.51,-999.0
20260419,3.48,9.15,84.5,4.79,2.05,101.11,-999.0
20260420,14.97,7.55,63.86,4.04,0.91,102.03,-999.0
20260421,25.59,6.1,57.45,4.18,0.12,102.52,-999.0
20260422,8.88,8.8,83.85,4.9,1.6,101.68,-999.0
20260423,23.94,12.89,75.17,2.01,0.0,101.1,-999.0
20260424,22.85,11.76,74.66,2.93,0.0,100.88,-999.0
20260425,4.49,7.71,82.56,6.04,16.25,101.53,-999.0
20260426,20.27,8.34,80.33,4.7,2.15,101.81,-999.0
20260427,26.26,10.82,80.61,2.75,0.0,102.2,-999.0
20260428,9.2,10.85,78.98,2.27,0.0,101.89,-999.0
20260429,20.18,10.17,84.0,3.29,3.71,101.27,-999.0
20260430,9.06,10.98,88.35,1.91,6.07,100.65,-999.0
20260501,26.44,11.14,72.57,4.82,0.02,101.06,-999.0
20260502,18.45,11.44,78.12,2.29,0.48,100.99,-999.0
20260503,21.9,10.46,61.62,6.11,0.02,101.0,-999.0
20260504,26.24,12.62,73.36,5.94,0.0,101.09,-999.0
20260505,-999.0,14.54,79.89,6.65,0.01,100.91,-999.0
20260506,-999.0,14.36,87.83,6.35,1.42,100.75,-999.0
20260507,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
20260508,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
